Слово,Сумма_слов
спряжение,316
транспортёр,83
черноморский,40
линейный,34
циклический,33
букварь,28
ар,27
видовой,26
считайка,24
подкласс,24
коммуникация,23
сближение,22
звукозапись,22
миля,22
тренажёр,22
проспрягать,22
археология,21
средневековье,21
танграм,20
логический,20
ковбой,19
конвейер,19
купейный,19
усовершенствование,19
малахит,19
структура,18
параметр,18
плацкартный,17
ложь,17
умозаключение,16
вычислимый,16
возвратный,16
акрополь,15
грузоподъёмность,15
четверик,15
портал,14
абсцисса,14
лемминг,14
летописец,14
декларация,14
декабрист,14
тыл,13
богатырский,13
дальность,13
фонд,13
авсый,13
просвещение,13
военачальник,13
плоскогорье,13
ордината,13
конвенция,13
многогранник,13
могс,12
блиц,12
юность,12
лубок,12
пароль,12
разгром,12
упорядочивание,12
террикон,12
цветоводство,12
этикетный,11
регулировщик,11
лубочный,11
турбаза,11
итоговый,11
эллин,11
ненавидеть,11
путёвка,11
загрузить,11
склоняемый,11
соllесtiоп,11
синтаксический,11
ильменский,10
брошюра,10
землепроходец,10
биссектриса,10
спрягаться,10
морзе,10
послевоенный,10
дворянский,10
сдаться,10
докладчик,10
хёрба,10
ремешок,10
сруб,10
среднесибирский,10
новшество,10
барельеф,10
картонка,10
городец,10
восьмерик,10
абажур,9
летосчисление,9
мечеть,9
первопечатник,9
заклёпка,9
взмах,9
морфологический,9
кижи,9
учёность,9
собственность,9
разживка,9
достроить,9
полеводство,9
катет,9
макулатура,9
анимация,9
истина,9
карьера,9
столбчатый,9
возглавлять,9
юнеско,9
субтропики,9
овощеводство,9
партизан,9
обувной,9
вычеркнуть,9
видеоролик,9
повелительный,8
зерновка,8
спаситель,8
блокада,8
кассета,8
кружевница,8
крестоносец,8
рытвина,8
незаконный,8
фиксировать,8
сотрудничество,8
домострой,8
самоуправление,8
рыцарский,8
полезть,8
царьград,8
субтропический,8
вероятность,8
лобзик,8
председатель,8
ассамблея,8
вьюшка,8
линолеум,8
панорама,8
декупаж,8
перечертить,8
лафет,8
ганча,8
ярмарочный,8
стелить,8
драп,8
овощехранилище,8
разгружать,8
рать,8
экспресс,8
бисеринка,7
алгебраический,7
кожевник,7
падчерица,7
недовольство,7
гармонический,7
нерль,7
слобода,7
главка,7
царствование,7
прошка,7
костиковый,7
яндекс,7
пиньят,7
соглашение,7
сливной,7
клоп,7
плодоводство,7
патриарх,7
параллелограмм,7
плеяда,7
отставание,7
тираж,7
разработчик,7
оружейник,7
диалоговый,7
логика,7
бревенчатый,7
форматирование,7
великолепие,7
браконьерство,7
полимер,7
тугрик,7
камаз,7
тысячная,7
кусудама,7
фаянс,7
металлургический,7
продемонстрировать,7
линукс,7
ленивица,7
эллада,7
верование,7
урон,7
меркнуть,7
потушить,7
горбатый,7
угра,7
межпланетный,7
водоканал,7
рдяный,7
октябрьский,6
метафора,6
вертунчик,6
древнеегипетский,6
численный,6
заключать,6
постигать,6
перевыпас,6
избиратель,6
